Unic_id,@TG_nik,Motion,API,Date,Time,API_answer
1226273352.0,@unknown36733,Прогноз погоды,wttr.in,2025-09-14,23:10:47,"Погода в Минск: 14°C, Clear"
1226273352.0,@unknown36733,Новости по всему миру,newsapi.org,2025-09-14,23:11:56,"Технологии, IT, гаджеты, инновации"
